"taxon" "lfc_(Intercept)" "lfc_Soil.originSoilB" "lfc_Plant.conditionHealthy" "se_(Intercept)" "se_Soil.originSoilB" "se_Plant.conditionHealthy" "W_(Intercept)" "W_Soil.originSoilB" "W_Plant.conditionHealthy" "p_(Intercept)" "p_Soil.originSoilB" "p_Plant.conditionHealthy" "q_(Intercept)" "q_Soil.originSoilB" "q_Plant.conditionHealthy" "diff_(Intercept)" "diff_Soil.originSoilB" "diff_Plant.conditionHealthy" "passed_ss_(Intercept)" "passed_ss_Soil.originSoilB" "passed_ss_Plant.conditionHealthy"
"1" "ASV5" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE FALSE FALSE
"2" "ASV6" 0.0779974626378125 0.603331252245851 -0.486172679284892 0.119350986941587 0.229645654221631 0.206436961386549 0.653513344434982 2.62722695228351 -2.35506605028226 0.531755388609917 0.0303083992352123 0.0463135507156967 1 1 1 FALSE FALSE FALSE TRUE TRUE FALSE
"3" "ASV7" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE FALSE FALSE
"4" "ASV8" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE FALSE FALSE
"5" "ASV9" 0.0105469097119273 0.193892174724029 -0.275877131429517 0.114393825740797 0.238632072175548 0.215400089329585 0.0921982427253142 0.812515153375501 -1.28076609572522 0.932352295276431 0.475984104513083 0.290314685799781 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE
"6" "ASV10" 0.171590913658857 0.0763850636766099 -0.354705450606838 0.113205547391814 0.236216446303698 0.212986472452255 1.51574651253588 0.323368947725187 -1.66538957391462 0.268828479449166 0.777096500849793 0.237751887672517 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE
"7" "ASV11" 0.611568924265498 -1.0285369358652 -0.323651029063208 0.214298902367196 0.403152949162492 0.381433338879484 2.85381267710643 -2.55123257315091 -0.848512691664497 0.0135575025105207 0.024136254309496 0.411504511129576 1 1 1 FALSE FALSE FALSE FALSE TRUE TRUE
"8" "ASV14" 0.588973986656387 -0.902937363432642 -0.443232330979244 0.211001874767923 0.375895835489689 0.35390831306479 2.79132110700054 -2.40209461819752 -1.25239310470252 0.0163045551493317 0.0333908569790295 0.234285106081007 1 1 1 FALSE FALSE FALSE FALSE FALSE TRUE
"9" "ASV15" 0.451144735385322 -0.852146787911467 -0.316122297781204 0.202464657343933 0.387099282186228 0.365224038847929 2.2282641390539 -2.20136493950281 -0.865557203678017 0.0476709930556892 0.0499668419448708 0.405215410351099 1 1 1 FALSE FALSE FALSE FALSE FALSE TRUE
"10" "ASV17" -0.119377443972924 -0.00505878830523031 0.114763559853666 0.168682650713432 0.330845956284125 0.308382169544985 -0.707704339883354 -0.0152904643660988 0.372147196522412 0.491622647591833 0.988032625706422 0.715779263555517 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE
"11" "ASV20" -0.452408979541577 0.431294568395612 0.670749189050306 0.223265487675719 0.330600024633768 0.30813356651864 -2.02632741966226 1.30458117440672 2.17681311591131 0.0823578683830165 0.233286749957584 0.0659502836281306 1 1 1 FALSE FALSE FALSE TRUE FALSE TRUE
"12" "ASV21" -0.21170226755136 0.114037632037146 0.180316786668161 0.160042742230084 0.319946224044924 0.297363959332868 -1.32278580460092 0.356427497707033 0.60638413300892 0.208704451796079 0.727238633231826 0.554701443722032 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE
"13" "ASV23" -0.0200763017765045 -0.949827045711257 0.37581099715573 0.145719277678605 0.252706779402125 0.229509453395833 -0.137773821668155 -3.75861323530155 1.63745323600057 0.893452317094467 0.00449460149750755 0.135961442091284 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE
"14" "ASV24" -0.18264501800428 0.0984124699425225 0.137827449668625 0.167984994066516 0.335236770365741 0.3128206212158 -1.08726984228103 0.293561084707848 0.440595792991361 0.296665919496972 0.773727475493158 0.666743322353346 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE
